Customer ID,Recency,Frequency,Monetary,Churn,Churn_Prob,CLV,Segment
12346,165,11,372.86,1,0.024160472847533063,4101.46,High Value - Low Risk
12347,3,2,1323.32,0,0.41173174671312573,2646.64,High Value - High Risk
12348,74,1,222.16,0,0.5103518578682319,222.16,Low Value - High Risk
12349,43,3,2671.14,0,0.31852966963788487,8013.42,High Value - Low Risk
12351,11,1,300.93,0,0.5099128011236774,300.93,Low Value - High Risk
12352,11,2,343.8,0,0.41703353417723127,687.6,Low Value - High Risk
12353,44,1,317.76,0,0.5098189902436858,317.76,Low Value - High Risk
12355,203,1,488.21,1,0.5088688594475816,488.21,Low Value - High Risk
12356,16,3,3560.3,0,0.31424023001166723,10680.900000000001,High Value - Low Risk
12357,24,2,12079.99,0,0.3550907258086458,24159.98,High Value - Low Risk
12358,11,3,2719.01,0,0.31829794388724647,8157.030000000001,High Value - Low Risk
12359,61,6,2563.36,0,0.1324896691548328,15380.16,High Value - Low Risk
12360,15,5,1590.83,0,0.184859043536717,7954.15,High Value - Low Risk
12361,98,3,321.35,1,0.33001316652232987,964.0500000000001,Low Value - Low Risk
12362,374,1,130.0,1,0.5108655289206498,130.0,Low Value - High Risk
12366,269,1,500.24,1,0.5088017987272639,500.24,Low Value - High Risk
12368,264,1,917.7,1,0.5064745063852272,917.7,Low Value - High Risk
12369,49,3,1791.1499999999999,0,0.322805381904934,5373.45,High Value - Low Risk
12370,260,3,774.62,1,0.32778163360685847,2323.86,High Value - Low Risk
12371,45,3,2179.42,0,0.32091513880512895,6538.26,High Value - Low Risk
12373,260,2,763.05,1,0.4147618609673144,1526.1,Low Value - High Risk
12374,57,3,2246.29,0,0.3205901804428899,6738.87,High Value - Low Risk
12376,25,2,503.15,0,0.4161696881828519,1006.3,Low Value - High Risk
12377,17,2,1798.2,0,0.4091686679864016,3596.4,High Value - Low Risk
12378,198,1,1407.7,1,0.5037424611865993,1407.7,Low Value - High Risk
12379,58,2,767.98,0,0.4147351694973267,1535.96,Low Value - High Risk
12380,101,7,6951.49,1,0.08701314343166579,48660.43,High Value - Low Risk
12385,15,1,1938.4,0,0.500783241943976,1938.4,High Value - High Risk
12386,2,1,258.90000000000003,0,0.5101470744291474,258.90000000000003,Low Value - High Risk
12387,51,1,143.94,0,0.5107878331611898,143.94,Low Value - High Risk
12388,81,2,1120.45,0,0.4128281707812306,2240.9,High Value - High Risk
12389,38,3,1433.33,0,0.32455252869354406,4299.99,High Value - Low Risk
12391,100,5,2285.18,1,0.1825366975356884,11425.9,High Value - Low Risk
12392,227,1,234.75,1,0.5102816834194339,234.75,Low Value - High Risk
12393,18,2,816.85,0,0.41447060995198304,1633.7,Low Value - High Risk
12395,7,4,2048.64,0,0.24595275175004355,8194.56,High Value - Low Risk
12396,310,1,931.43,1,0.5063979578674915,931.43,Low Value - High Risk
12399,21,3,853.65,0,0.32739334625307803,2560.95,High Value - Low Risk
12400,50,1,205.25,0,0.5104461105958052,205.25,Low Value - High Risk
12402,28,5,1031.3,0,0.18674703836770337,5156.5,High Value - Low Risk
12403,157,1,591.6600000000001,1,0.5082921716717643,591.6600000000001,Low Value - High Risk
12404,318,1,63.24,1,0.5112376140383168,63.24,Low Value - High Risk
12406,35,3,2975.06,0,0.3170600032996446,8925.18,High Value - Low Risk
12408,21,3,1452.22,0,0.32446017066902516,4356.66,High Value - Low Risk
12409,56,4,12346.62,0,0.20586875381858571,49386.48,High Value - Low Risk
12410,138,1,320.38,1,0.5098043862297003,320.38,Low Value - High Risk
12411,45,1,346.9,0,0.5096565614557392,346.9,Low Value - High Risk
12412,38,3,1370.05,0,0.32486202020695387,4110.15,High Value - Low Risk
12413,38,1,241.35,0,0.5102448960165316,241.35,Low Value - High Risk
12414,99,3,390.0,1,0.32967469418974626,1170.0,Low Value - Low Risk
12415,11,7,19543.84,0,0.06713643462660492,136806.88,High Value - Low Risk
12416,292,1,202.56,1,0.5104611040128512,202.56,Low Value - High Risk
12417,46,11,3148.31,0,0.02274313808444223,34631.409999999996,High Value - Low Risk
12418,49,3,1352.62,0,0.3249472942084932,4057.8599999999997,High Value - Low Risk
12419,21,2,503.01,0,0.41617044690618993,1006.02,Low Value - High Risk
12421,51,2,291.56,0,0.41731684154348575,583.12,Low Value - High Risk
12422,30,14,4428.24,0,0.007318356060445764,61995.36,High Value - Low Risk
12423,23,2,763.08,0,0.4147616985430628,1526.16,Low Value - High Risk
12424,58,2,1579.07,0,0.41035077806444337,3158.14,High Value - Low Risk
12425,84,1,964.21,0,0.5062151991658322,964.21,Low Value - High Risk
12426,298,1,762.48,1,0.5073398785086677,762.48,Low Value - High Risk
12427,7,1,303.5,0,0.5098984759184373,303.5,Low Value - High Risk
12429,1,5,3735.5099999999998,0,0.1777591097918917,18677.55,High Value - Low Risk
12431,9,13,4370.52,0,0.010612288712735275,56816.76000000001,High Value - Low Risk
12433,2,5,7205.39,0,0.1667276293613543,36026.950000000004,High Value - Low Risk
12434,17,1,297.29,0,0.5099330904915622,297.29,Low Value - High Risk
12435,32,4,6096.04,0,0.2295963201754763,24384.16,High Value - Low Risk
12437,31,21,7731.99,0,0.0005005230229454642,162371.79,High Value - Low Risk
12439,318,2,1142.88,1,0.41270690365935137,2285.76,High Value - High Risk
12440,98,2,859.2,1,0.41424138655476306,1718.4,High Value - High Risk
12441,2,1,173.55,0,0.5106227976174003,173.55,Low Value - High Risk
12443,368,1,485.31,1,0.5088850253258569,485.31,Low Value - High Risk
12445,56,1,301.58,0,0.5099091780188308,301.58,Low Value - High Risk
12449,46,2,768.6,0,0.41473181279616317,1537.2,Low Value - High Risk
12450,35,3,490.32,0,0.3291803934156854,1470.96,Low Value - Low Risk
12451,99,3,3634.36,1,0.31388436740076625,10903.08,High Value - Low Risk
12454,31,4,13151.44,0,0.20294943838264398,52605.76,High Value - Low Risk
12455,81,4,3413.09,0,0.2403522371493877,13652.36,High Value - Low Risk
12457,71,1,632.6800000000001,0,0.5080634972057736,632.6800000000001,Low Value - High Risk
12458,63,2,830.09,0,0.4143989432101074,1660.18,High Value - High Risk
12459,241,1,454.36,1,0.5090575531039702,454.36,Low Value - High Risk
12460,92,1,326.65,1,0.5097694368611572,326.65,Low Value - High Risk
12466,318,1,56.73,1,0.5112738966937028,56.73,Low Value - High Risk
12467,59,1,132.8,0,0.510849922927764,132.8,Low Value - High Risk
12468,162,3,2941.2,1,0.3172235603079651,8823.599999999999,High Value - Low Risk
12469,158,2,3070.54,1,0.40232608372314194,6141.08,High Value - Low Risk
12470,325,1,211.95,1,0.5104087663155698,211.95,Low Value - High Risk
12471,10,49,20129.54,0,1.085704833848218e-08,986347.4600000001,High Value - Low Risk
12472,5,13,11308.48,0,0.009104652293220102,147010.24,High Value - Low Risk
12474,14,13,5048.66,0,0.010454643076564032,65632.58,High Value - Low Risk
12475,45,1,426.26,0,0.5092141919654777,426.26,Low Value - High Risk
12476,32,12,7267.49,0,0.014399938328662926,87209.88,High Value - Low Risk
12477,35,3,7056.63,0,0.2976832442545282,21169.89,High Value - Low Risk
12480,35,3,2183.22,0,0.3208966678451518,6549.66,High Value - Low Risk
12481,1,6,6765.07,0,0.12208406039698927,40590.42,High Value - Low Risk
12482,212,29,23691.4,1,1.7652183132794953e-05,687050.6000000001,High Value - Low Risk
12483,14,11,2612.2,0,0.02301043357194553,28734.199999999997,High Value - Low Risk
12484,119,6,1826.78,1,0.13438941350004358,10960.68,High Value - Low Risk
12485,165,1,708.1,1,0.50764304409633,708.1,Low Value - High Risk
12486,67,1,1037.28,0,0.5058078052693021,1037.28,Low Value - High Risk
12487,366,1,285.3,1,0.5099999225457388,285.3,Low Value - High Risk
12490,14,11,4405.71,0,0.022128062981409475,48462.81,High Value - Low Risk
12492,39,1,452.0,0,0.5090707086074402,452.0,Low Value - High Risk
12494,1,3,626.77,0,0.32850867787521215,1880.31,High Value - Low Risk
12495,276,1,357.4,1,0.5095980330793756,357.4,Low Value - High Risk
12496,256,2,45.34,1,0.41865287112346444,90.68,Low Value - High Risk
12497,36,2,5205.4,0,0.390931113071888,10410.8,High Value - Low Risk
12499,196,1,393.72,1,0.5093955786193525,393.72,Low Value - High Risk
12500,71,8,1697.39,0,0.06868070287310908,13579.12,High Value - Low Risk
12503,220,1,1126.0,1,0.5053131461719823,1126.0,Low Value - High Risk
12504,53,2,297.0,0,0.41728733684854213,594.0,Low Value - High Risk
12505,44,1,955.2,0,0.5062654328874865,955.2,Low Value - High Risk
12507,220,1,539.25,1,0.5085843369846282,539.25,Low Value - High Risk
12510,95,7,4195.45,1,0.0920222565359068,29368.149999999998,High Value - Low Risk
12511,64,1,3084.02,0,0.49439527293357083,3084.02,High Value - High Risk
12514,277,1,580.08,1,0.50835672615066,580.08,Low Value - High Risk
12516,66,2,1336.56,0,0.4116602205980675,2673.12,High Value - High Risk
12519,112,1,385.7,1,0.5094402838639416,385.7,Low Value - High Risk
12523,10,12,2562.58,0,0.01596779592560422,30750.96,High Value - Low Risk
12524,24,9,6640.39,0,0.04347795835578813,59763.51,High Value - Low Risk
12525,134,3,973.73,1,0.32680382575845984,2921.19,High Value - Low Risk
12527,130,2,386.8,1,0.4168003781609054,773.6,Low Value - High Risk
12529,164,1,316.48,1,0.5098261250230518,316.48,Low Value - High Risk
12530,51,5,2096.98,0,0.1831639101531231,10484.9,High Value - Low Risk
12531,322,1,1807.98,1,0.5015104857855751,1807.98,High Value - High Risk
12533,263,2,1367.89,1,0.4114909822050655,2735.78,High Value - High Risk
12537,44,1,732.9399999999999,0,0.5075045631105878,732.9399999999999,Low Value - High Risk
12538,14,1,276.5,0,0.5100489733673549,276.5,Low Value - High Risk
12539,86,3,5646.4,0,0.30430102173778406,16939.199999999997,High Value - Low Risk
12540,14,16,8854.25,0,0.003153537322528898,141668.0,High Value - Low Risk
12542,120,2,481.88,1,0.4162849644880222,963.76,Low Value - High Risk
12543,84,1,980.25,0,0.5061257705656612,980.25,Low Value - High Risk
12547,136,1,175.78,1,0.5106103683012091,175.78,Low Value - High Risk
12549,211,6,1575.6799999999998,1,0.1350422758340947,9454.079999999998,High Value - Low Risk
12553,21,2,916.47,0,0.4139314663215275,1832.94,High Value - High Risk
12554,84,1,468.5,0,0.5089787313083547,468.5,Low Value - High Risk
